노선ID,노선번호,정류소순번,정류소명,노드ID
5290701000,남구1,23,청구아파트,180810304
5200038000,38,50,장백아파트,180830201
5200038000,38,114,장백아파트,180830201
5200583000,583,21,장백아파트,180830201
5200583000,583,44,장백아파트,180830201
5200583000,583,48,더비치푸르지오써밋,180850201
5290708000,남구8,32,더비치푸르지오써밋,180850203
5290708000,남구8,44,용호사거리,180860201
5290709000,남구9,53,용호사거리,180860201
5290708000,남구8,9,예문여자고등학교,180860301
5290709000,남구9,6,예문여자고등학교,180860301
5200020000,20,12,경성대.부경대역,180870101
5200039000,39,81,경성대.부경대역,180870101
5200040000,40,105,경성대.부경대역,180870101
5200042000,42,71,경성대.부경대역,180870101
5200051000,51,75,경성대.부경대역,180870101
5200131000,131,91,경성대.부경대역,180870101
5200155000,155,72,경성대.부경대역,180870101
5201001000,1001,65,경성대.부경대역,180870101
5201003000,1003,76,경성대.부경대역,180870101
5201003F00,1003-F,85,경성대.부경대역,180870101
5290701000,남구1,16,대연푸르지오아파트,180870301
5290701000,남구1,18,대연힐스테이트푸르지오112동,180870302
5290701000,남구1,17,대연힐스테이트푸르지오중문,180870303
5290701000,남구1,19,대연삼정그린코아더베스트,180870304
5203001000,3001,25,LG메트로시티,180880201
5203006000,3006,46,LG메트로시티,180880201
5200010000,10,69,대천중학교,180890101
5200155000,155,68,대천중학교,180890101
5200583000,583,6,대천중학교,180890101
5290708000,남구8,17,대천중학교,180890102
